YEAR,INDICATOR_NAME,DATA_VALUE,DATA_SOURCE_NAME,DATABASE_NAME,PRODUCT,PRODUCT_DESCRIPTION,INDICATOR_TYPE,CATEGORY,CONTACT,FREQUENCY,AKFIN,ESR,STATUS_TRENDS,INFLUENTIAL_FACTORS,REFERENCE,PRELIMINARY,REPORT_CARD_TITLE,INTENDED_ESP_NAME,SUBMISSION_YEAR,GATE1_YEAR,GATE2_YEAR,REMOVED_YEAR,SIGN,WEIGHT,UNITS,INDICATOR_ORDER,REGION,TIME_START,TIME_END
1999,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,99,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,"TAC Utilization (%): Percentage of the annual snow crab TAC (GHL prior to 2005) that was harvested by active vessels, including deadloss discarded at landing.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,N,Not Applicable,NA,NA,NA,N,Percentage of annual EBS snow crab total allowable catch that was harvested by active vessels,BS Snow Crab,2022,2022,NA,NA,1,1,% TAC,17,Eastern Bering Sea,NA,NA
1998,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,108,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,"TAC Utilization (%): Percentage of the annual snow crab TAC (GHL prior to 2005) that was harvested by active vessels, including deadloss discarded at landing.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,N,Not Applicable,NA,NA,NA,N,Percentage of annual EBS snow crab total allowable catch that was harvested by active vessels,BS Snow Crab,2022,2022,NA,NA,1,1,% TAC,17,Eastern Bering Sea,NA,NA
1997,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,102,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,"TAC Utilization (%): Percentage of the annual snow crab TAC (GHL prior to 2005) that was harvested by active vessels, including deadloss discarded at landing.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,N,Not Applicable,NA,NA,NA,N,Percentage of annual EBS snow crab total allowable catch that was harvested by active vessels,BS Snow Crab,2022,2022,NA,NA,1,1,% TAC,17,Eastern Bering Sea,NA,NA
1996,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,130,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,"TAC Utilization (%): Percentage of the annual snow crab TAC (GHL prior to 2005) that was harvested by active vessels, including deadloss discarded at landing.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,N,Not Applicable,NA,NA,NA,N,Percentage of annual EBS snow crab total allowable catch that was harvested by active vessels,BS Snow Crab,2022,2022,NA,NA,1,1,% TAC,17,Eastern Bering Sea,NA,NA
1995,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,135,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,"TAC Utilization (%): Percentage of the annual snow crab TAC (GHL prior to 2005) that was harvested by active vessels, including deadloss discarded at landing.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,N,Not Applicable,NA,NA,NA,N,Percentage of annual EBS snow crab total allowable catch that was harvested by active vessels,BS Snow Crab,2022,2022,NA,NA,1,1,% TAC,17,Eastern Bering Sea,NA,NA
1994,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,142,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,"TAC Utilization (%): Percentage of the annual snow crab TAC (GHL prior to 2005) that was harvested by active vessels, including deadloss discarded at landing.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,N,Not Applicable,NA,NA,NA,N,Percentage of annual EBS snow crab total allowable catch that was harvested by active vessels,BS Snow Crab,2022,2022,NA,NA,1,1,% TAC,17,Eastern Bering Sea,NA,NA
1993,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,111,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,"TAC Utilization (%): Percentage of the annual snow crab TAC (GHL prior to 2005) that was harvested by active vessels, including deadloss discarded at landing.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,N,Not Applicable,NA,NA,NA,N,Percentage of annual EBS snow crab total allowable catch that was harvested by active vessels,BS Snow Crab,2022,2022,NA,NA,1,1,% TAC,17,Eastern Bering Sea,NA,NA
1992,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,95,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,"TAC Utilization (%): Percentage of the annual snow crab TAC (GHL prior to 2005) that was harvested by active vessels, including deadloss discarded at landing.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,N,Not Applicable,NA,NA,NA,N,Percentage of annual EBS snow crab total allowable catch that was harvested by active vessels,BS Snow Crab,2022,2022,NA,NA,1,1,% TAC,17,Eastern Bering Sea,NA,NA
1991,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,104,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,"TAC Utilization (%): Percentage of the annual snow crab TAC (GHL prior to 2005) that was harvested by active vessels, including deadloss discarded at landing.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,N,Not Applicable,NA,NA,NA,N,Percentage of annual EBS snow crab total allowable catch that was harvested by active vessels,BS Snow Crab,2022,2022,NA,NA,1,1,% TAC,17,Eastern Bering Sea,NA,NA
1990,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,116,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,"TAC Utilization (%): Percentage of the annual snow crab TAC (GHL prior to 2005) that was harvested by active vessels, including deadloss discarded at landing.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,N,Not Applicable,NA,NA,NA,N,Percentage of annual EBS snow crab total allowable catch that was harvested by active vessels,BS Snow Crab,2022,2022,NA,NA,1,1,% TAC,17,Eastern Bering Sea,NA,NA
1989,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,112,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,"TAC Utilization (%): Percentage of the annual snow crab TAC (GHL prior to 2005) that was harvested by active vessels, including deadloss discarded at landing.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,N,Not Applicable,NA,NA,NA,N,Percentage of annual EBS snow crab total allowable catch that was harvested by active vessels,BS Snow Crab,2022,2022,NA,NA,1,1,% TAC,17,Eastern Bering Sea,NA,NA
1988,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,121,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,"TAC Utilization (%): Percentage of the annual snow crab TAC (GHL prior to 2005) that was harvested by active vessels, including deadloss discarded at landing.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,N,Not Applicable,NA,NA,NA,N,Percentage of annual EBS snow crab total allowable catch that was harvested by active vessels,BS Snow Crab,2022,2022,NA,NA,1,1,% TAC,17,Eastern Bering Sea,NA,NA
1987,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,181,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,"TAC Utilization (%): Percentage of the annual snow crab TAC (GHL prior to 2005) that was harvested by active vessels, including deadloss discarded at landing.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,N,Not Applicable,NA,NA,NA,N,Percentage of annual EBS snow crab total allowable catch that was harvested by active vessels,BS Snow Crab,2022,2022,NA,NA,1,1,% TAC,17,Eastern Bering Sea,NA,NA
1986,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,171,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,"TAC Utilization (%): Percentage of the annual snow crab TAC (GHL prior to 2005) that was harvested by active vessels, including deadloss discarded at landing.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,N,Not Applicable,NA,NA,NA,N,Percentage of annual EBS snow crab total allowable catch that was harvested by active vessels,BS Snow Crab,2022,2022,NA,NA,1,1,% TAC,17,Eastern Bering Sea,NA,NA
1985,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,67,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,"TAC Utilization (%): Percentage of the annual snow crab TAC (GHL prior to 2005) that was harvested by active vessels, including deadloss discarded at landing.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,N,Not Applicable,NA,NA,NA,N,Percentage of annual EBS snow crab total allowable catch that was harvested by active vessels,BS Snow Crab,2022,2022,NA,NA,1,1,% TAC,17,Eastern Bering Sea,NA,NA
1984,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,55,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,"TAC Utilization (%): Percentage of the annual snow crab TAC (GHL prior to 2005) that was harvested by active vessels, including deadloss discarded at landing.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,N,Not Applicable,NA,NA,NA,N,Percentage of annual EBS snow crab total allowable catch that was harvested by active vessels,BS Snow Crab,2022,2022,NA,NA,1,1,% TAC,17,Eastern Bering Sea,NA,NA
1983,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,165,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,"TAC Utilization (%): Percentage of the annual snow crab TAC (GHL prior to 2005) that was harvested by active vessels, including deadloss discarded at landing.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,N,Not Applicable,NA,NA,NA,N,Percentage of annual EBS snow crab total allowable catch that was harvested by active vessels,BS Snow Crab,2022,2022,NA,NA,1,1,% TAC,17,Eastern Bering Sea,NA,NA
1982,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,133,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,"TAC Utilization (%): Percentage of the annual snow crab TAC (GHL prior to 2005) that was harvested by active vessels, including deadloss discarded at landing.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,N,Not Applicable,NA,NA,NA,N,Percentage of annual EBS snow crab total allowable catch that was harvested by active vessels,BS Snow Crab,2022,2022,NA,NA,1,1,% TAC,17,Eastern Bering Sea,NA,NA
1981,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,58,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_TAC_Utilization_EBS_Fishery,"TAC Utilization (%): Percentage of the annual snow crab TAC (GHL prior to 2005) that was harvested by active vessels, including deadloss discarded at landing.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,N,Not Applicable,NA,NA,NA,N,Percentage of annual EBS snow crab total allowable catch that was harvested by active vessels,BS Snow Crab,2022,2022,NA,NA,1,1,% TAC,17,Eastern Bering Sea,NA,NA
2023,Summer_Benthic_Invertebrate_Density_SEBS_Survey,NA,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
2022,Summer_Benthic_Invertebrate_Density_SEBS_Survey,8.782663979,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
2021,Summer_Benthic_Invertebrate_Density_SEBS_Survey,8.099564666,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
2020,Summer_Benthic_Invertebrate_Density_SEBS_Survey,NA,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
2019,Summer_Benthic_Invertebrate_Density_SEBS_Survey,8.079800642,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
2018,Summer_Benthic_Invertebrate_Density_SEBS_Survey,7.662265552,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
2017,Summer_Benthic_Invertebrate_Density_SEBS_Survey,10.49087004,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
2016,Summer_Benthic_Invertebrate_Density_SEBS_Survey,9.299961074,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
2015,Summer_Benthic_Invertebrate_Density_SEBS_Survey,8.949914316,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
2014,Summer_Benthic_Invertebrate_Density_SEBS_Survey,8.166086535,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
2013,Summer_Benthic_Invertebrate_Density_SEBS_Survey,8.781933758,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
2012,Summer_Benthic_Invertebrate_Density_SEBS_Survey,8.702751325,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
2011,Summer_Benthic_Invertebrate_Density_SEBS_Survey,8.090870097,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
2010,Summer_Benthic_Invertebrate_Density_SEBS_Survey,8.613732513,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
2009,Summer_Benthic_Invertebrate_Density_SEBS_Survey,7.854002321,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
2008,Summer_Benthic_Invertebrate_Density_SEBS_Survey,8.835266014,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
2007,Summer_Benthic_Invertebrate_Density_SEBS_Survey,7.338357157,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
2006,Summer_Benthic_Invertebrate_Density_SEBS_Survey,8.54795884,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
2005,Summer_Benthic_Invertebrate_Density_SEBS_Survey,9.013827156,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
2004,Summer_Benthic_Invertebrate_Density_SEBS_Survey,8.116485437,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
2003,Summer_Benthic_Invertebrate_Density_SEBS_Survey,8.431315692,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
2002,Summer_Benthic_Invertebrate_Density_SEBS_Survey,7.141492699,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Benthic_Invertebrate_Density_SEBS_Survey,Combined catch per unit of effort of benthic invertebrate prey items on the EBS bottom trawl survey,Ecosystem,Lower Trophic,Erin Fedewa,Adhoc,N,Eastern Bering Sea,TBD,"Food availability may drive patterns in growth, energetic condition and survival of snow crab",NA,N,"Species included in the benthic invertebrate biomass indicator (i.e. brittle stars, sea stars, sea cucumber, bivalves, non-commercial crab species, shrimp and polychaetes) are important prey sources for snow crab. Biomass estimates were determined from the EBS bottom trawl survey catch data for southeastern Bering Sea.",BS Snow Crab,2022,2022,NA,NA,1,1,"1,000 mt",5,NA,NA,NA
